Quadrant	Longitude	Latitude	Name	Bogennummer	Sprache
44/13	13,62778	48,27893	DORF AN DER PRAM	18902	1
45/13	13,83155	48,28803	MICHAELNBACH	18910	1
46/13	14,10729	48,28632	ALKOVEN	18923	1
71/53	21,33071539	54,71800592	KￃﾖNIGLICH DAMERAU	1895	1
43/12	13,34042	48,12665	ARNBERG	18984	1
44/12	13,62036	48,11548	RACKERING	18987	1
45/12	13,84267	48,12872	PENNEWANG	19003	1
46/12	14,10999	48,09704	SIPBACHZELL	19011	1
72/53	21,6499872	54,73016708	PESSELN	1904	1
47/14	14,34938	48,45608	REICHENAU IM MￃﾜHLKREIS	19070	1
48/14	14,61282	48,41729	GUTAU	19080	1
49/14	14,81413	48,47743	HACKSTOCK	19085	1
